annual_income,current_balance,credit_limit,utilization_ratio,late_payments_24m,age,tenure_years,customer_segment,region,risk_label
66482,2260.95,10783,0.21,1,24,1.0,salaried,midwest,good
97572,2737.05,12694,0.216,2,24,1.4,salaried,south,good
37398,4652.09,6910,0.673,0,49,5.9,self-employed,midwest,bad
30932,2126.47,6638,0.32,0,57,1.4,salaried,midwest,good
63889,0.0,10001,0.0,0,40,1.2,self-employed,northeast,good
72681,6499.17,2572,1.0,1,61,3.6,self-employed,south,bad
64346,5762.91,8893,0.648,0,43,2.7,self-employed,west,bad
23651,415.47,10208,0.041,0,65,4.2,self-employed,south,good
63218,4379.42,10721,0.408,0,38,2.5,salaried,northeast,good
38911,1994.05,1000,1.0,1,69,4.8,retired,south,bad
78393,3526.97,4955,0.712,1,45,1.3,salaried,south,bad
72332,3588.45,4487,0.8,2,21,1.1,salaried,south,bad
46202,2531.18,8400,0.301,2,74,3.8,salaried,midwest,good
54723,1432.47,9923,0.144,1,35,2.7,retired,midwest,good
43816,1618.92,13987,0.116,1,54,2.4,self-employed,south,good
63746,1167.62,6020,0.194,3,68,4.6,self-employed,midwest,good
84103,1336.36,6010,0.222,1,40,10.2,student,south,good
45285,2865.64,12599,0.227,2,74,1.1,self-employed,south,good
75081,1568.48,9186,0.171,2,57,6.4,self-employed,south,good
54395,4364.1,13071,0.334,1,47,4.7,salaried,midwest,good
49143,5974.49,9155,0.653,0,42,2.3,salaried,west,good
62859,1839.89,3372,0.546,0,71,7.6,salaried,midwest,good
44295,3478.81,2667,1.0,1,25,1.4,student,south,bad
53927,3999.37,1794,1.0,0,54,4.1,salaried,midwest,bad
41042,3944.0,10648,0.37,1,59,2.8,salaried,south,good
104295,3151.91,12754,0.247,1,23,2.3,salaried,west,good
65705,4485.36,15397,0.291,0,37,1.5,salaried,south,good
51005,3964.5,11372,0.349,1,44,12.4,salaried,midwest,good
69280,524.68,12651,0.041,1,44,2.3,student,south,good
62753,4738.31,5680,0.834,1,23,0.5,retired,midwest,bad
60581,4774.58,3374,1.0,0,65,5.1,salaried,midwest,bad
77283,1473.43,11400,0.129,0,27,3.9,salaried,northeast,good
80150,3075.88,9671,0.318,0,45,2.7,salaried,west,good
54390,4366.66,8430,0.518,0,23,2.5,salaried,south,good
53484,2581.37,9549,0.27,0,35,3.0,retired,northeast,good
59499,5145.96,9293,0.554,1,49,5.1,salaried,south,good
18962,7727.74,13135,0.588,0,70,3.9,salaried,northeast,bad
34696,1428.03,13180,0.108,0,49,4.3,retired,west,good
92337,237.91,10177,0.023,1,30,4.3,salaried,midwest,good
97899,3607.64,11383,0.317,2,52,5.3,student,midwest,good
60019,4443.13,10056,0.442,1,43,6.1,student,west,good
76531,2538.27,6155,0.412,1,59,2.1,student,midwest,good
71225,5906.52,11026,0.536,0,29,3.6,retired,midwest,good
126578,322.79,2422,0.133,0,57,6.0,salaried,south,good
87391,4385.84,12216,0.359,1,72,2.1,retired,northeast,good
62442,1788.28,3222,0.555,0,60,6.7,retired,west,good
45889,6438.76,9143,0.704,1,34,2.0,salaried,midwest,bad
32871,6985.03,4619,1.0,1,24,4.0,student,midwest,bad
69069,1466.69,10214,0.144,2,40,2.7,student,midwest,good
49873,1900.89,7864,0.242,1,48,2.4,salaried,south,good
36555,4719.18,1621,1.0,1,34,4.2,salaried,midwest,bad
52069,2225.74,9683,0.23,1,64,6.2,salaried,west,good
43369,2909.18,5688,0.511,1,54,2.7,salaried,south,good
98743,3050.78,11525,0.265,2,33,6.5,retired,northeast,good
82633,0.0,8005,0.0,2,51,2.0,salaried,south,good
64841,2972.32,9582,0.31,0,53,6.2,salaried,south,good
94599,1620.54,4170,0.389,1,72,3.4,self-employed,west,good
66547,2013.75,5643,0.357,0,59,3.8,student,west,good
47774,5887.26,6165,0.955,0,48,1.5,salaried,west,bad
95462,486.99,11427,0.043,0,45,2.4,student,midwest,good
75778,4626.41,14710,0.315,0,52,3.1,student,northeast,good
44255,2442.07,4779,0.511,0,29,5.8,salaried,south,good
61193,2440.48,12307,0.198,2,48,2.8,salaried,west,good
47488,4580.74,1000,1.0,1,51,1.9,salaried,midwest,bad
37344,3680.1,3223,1.0,1,37,3.7,retired,midwest,bad
83524,4141.23,4165,0.994,0,73,8.8,salaried,south,bad
103188,4936.37,2590,1.0,4,43,3.9,salaried,midwest,bad
37029,2337.38,1666,1.0,1,33,2.8,student,midwest,bad
76259,1775.53,9652,0.184,0,30,3.7,salaried,south,good
51987,829.7,7144,0.116,1,36,1.8,salaried,west,good
55257,1349.18,9518,0.142,1,26,7.0,retired,west,good
53152,8898.19,10762,0.827,0,68,6.9,salaried,west,bad
47720,5489.36,9062,0.606,3,31,1.8,student,midwest,bad
65970,297.85,10631,0.028,0,72,6.8,salaried,west,good
48381,355.08,7722,0.046,0,23,3.7,student,midwest,good
70409,3963.73,3252,1.0,0,48,4.7,salaried,south,bad
63995,4094.53,12231,0.335,0,61,3.2,salaried,south,good
60221,4097.77,5644,0.726,1,35,3.3,student,south,bad
46849,2490.09,4258,0.585,1,33,2.2,salaried,northeast,good
53465,2749.09,7288,0.377,2,62,1.8,salaried,midwest,good
80108,3655.76,4349,0.841,0,72,1.7,salaried,northeast,bad
75018,3171.79,6330,0.501,2,65,5.9,student,midwest,bad
45449,0.0,9376,0.0,0,37,3.6,retired,midwest,good
66987,2540.4,9393,0.27,0,27,1.8,salaried,midwest,good
80028,1297.19,4409,0.294,2,48,3.4,self-employed,west,good
31612,3350.42,6049,0.554,1,58,1.0,salaried,northeast,bad
75867,8970.52,12297,0.729,0,33,1.8,salaried,west,bad
51748,3734.96,9986,0.374,0,37,6.2,salaried,midwest,good
76412,2372.94,16300,0.146,0,35,2.3,salaried,midwest,good
49735,4843.6,12721,0.381,1,56,5.8,student,west,good
28902,3965.38,12577,0.315,0,48,3.0,salaried,west,good
32449,3840.19,2449,1.0,2,35,4.7,self-employed,west,bad
65962,4213.7,11055,0.381,1,66,1.5,salaried,midwest,good
70194,7113.09,7788,0.913,1,73,4.3,student,northeast,bad
46914,738.22,5796,0.127,1,31,0.6,salaried,midwest,good
77772,3947.26,8672,0.455,0,51,2.4,self-employed,west,good
31770,1147.24,11781,0.097,1,24,6.4,self-employed,south,good
63678,4111.03,10003,0.411,2,55,3.3,student,northeast,good
40780,1162.63,4486,0.259,2,54,1.7,self-employed,west,good
51963,2165.27,10970,0.197,1,72,6.1,salaried,midwest,good
65948,2409.82,5450,0.442,0,47,9.4,salaried,northeast,good
47792,4951.63,8867,0.558,0,30,2.7,salaried,west,good
57309,4836.91,6787,0.713,0,50,1.1,self-employed,south,bad
85126,508.57,7125,0.071,1,65,3.3,retired,west,good
53462,3109.87,11065,0.281,1,40,4.9,retired,northeast,good
81714,1580.84,3839,0.412,0,49,2.8,student,northeast,good
42406,482.99,15781,0.031,1,73,0.7,retired,northeast,good
75596,2565.97,1000,1.0,2,49,4.6,student,midwest,bad
93831,2383.03,5609,0.425,0,43,2.0,salaried,midwest,good
15567,7853.43,9481,0.828,3,70,2.4,salaried,west,bad
49062,3865.92,10337,0.374,2,41,1.1,salaried,northeast,good
76541,244.76,7598,0.032,0,68,0.5,salaried,northeast,good
60939,1870.45,7770,0.241,0,63,1.5,salaried,midwest,good
72423,5042.77,9642,0.523,0,30,2.3,retired,south,good
52920,7176.89,7076,1.0,0,61,2.3,salaried,west,bad
66732,0.0,13573,0.0,0,32,7.2,salaried,midwest,good
61886,0.0,11357,0.0,0,50,1.6,retired,south,good
88356,6741.93,11491,0.587,1,71,5.5,student,midwest,good
70088,3779.23,4135,0.914,1,53,3.5,salaried,midwest,bad
71752,1263.41,7682,0.164,0,38,7.7,salaried,west,good
56762,4069.26,6798,0.599,0,34,3.1,salaried,northeast,good
55248,0.0,3978,0.0,0,42,0.7,salaried,northeast,good
56349,3006.75,9441,0.318,2,41,2.9,salaried,northeast,good
72889,3655.64,5849,0.625,1,21,0.5,self-employed,south,bad
56580,4848.54,10622,0.456,2,69,1.5,student,south,bad
70795,972.21,3719,0.261,2,63,2.9,salaried,midwest,good
106508,3171.37,14876,0.213,0,72,3.0,student,northeast,good
82422,1149.15,4415,0.26,2,35,5.4,salaried,south,good
58480,3510.77,8877,0.395,1,56,4.1,salaried,south,good
89024,1209.31,11167,0.108,1,67,7.3,retired,south,good
56838,2183.8,5717,0.382,0,74,5.4,self-employed,northeast,good
24238,1008.37,11410,0.088,2,42,5.0,salaried,west,good
44838,4302.27,3083,1.0,1,52,9.0,retired,west,bad
27584,4716.9,13808,0.342,1,66,5.2,salaried,south,good
57970,2530.76,8057,0.314,2,74,6.6,salaried,northeast,good
65368,3076.48,5614,0.548,2,53,1.0,salaried,south,bad
98529,102.82,6803,0.015,0,61,2.6,salaried,midwest,good
71539,2400.65,11236,0.214,2,59,4.0,self-employed,midwest,good
60618,2899.59,5662,0.512,0,43,3.3,salaried,south,good
81588,8241.59,5003,1.0,0,63,2.0,salaried,south,bad
20777,776.07,7114,0.109,1,22,5.1,self-employed,south,good
69712,5928.35,3292,1.0,1,22,5.8,retired,midwest,bad
80417,4993.72,15282,0.327,0,58,3.0,self-employed,northeast,good
35428,3561.27,5734,0.621,1,71,2.7,salaried,south,bad
87875,6517.24,11326,0.575,1,49,2.3,salaried,south,good
71770,3744.21,8838,0.424,2,72,5.2,salaried,west,good
56694,3778.32,4062,0.93,0,66,2.7,salaried,midwest,bad
77656,2893.76,7976,0.363,0,23,3.3,retired,northeast,good
110414,5447.14,11136,0.489,0,59,6.2,retired,west,good
68637,5192.94,7247,0.717,2,27,3.8,self-employed,south,bad
69964,1748.65,12772,0.137,1,56,3.3,student,midwest,good
55813,361.51,12086,0.03,1,49,2.2,self-employed,south,good
48003,2594.04,11676,0.222,0,57,3.2,retired,midwest,good
81607,1399.92,6161,0.227,0,69,2.0,salaried,west,good
47878,2872.95,3681,0.781,1,56,3.7,salaried,northeast,bad
66431,5474.88,5546,0.987,0,43,2.4,self-employed,south,bad
55447,2085.4,8785,0.237,0,65,2.6,salaried,west,good
74580,2914.35,10183,0.286,1,36,3.2,retired,west,good
71673,3116.05,1000,1.0,0,68,7.8,salaried,northeast,bad
85751,4696.86,7968,0.589,0,51,4.0,self-employed,west,good
54800,0.0,8632,0.0,0,54,1.5,self-employed,south,good
59603,1786.6,6890,0.259,1,70,2.7,salaried,midwest,good
45425,3422.57,13165,0.26,0,21,2.2,self-employed,northeast,good
56114,5400.16,9687,0.557,1,38,2.2,salaried,south,good
72546,2016.2,13241,0.152,0,60,2.2,salaried,south,good
80140,0.0,7136,0.0,1,63,2.7,student,west,good
46557,4239.42,11750,0.361,0,35,2.0,salaried,northeast,good
82392,1729.28,14540,0.119,0,68,2.0,self-employed,midwest,good
92113,620.67,13247,0.047,1,69,2.2,retired,northeast,good
73269,1751.31,3631,0.482,1,37,2.2,salaried,midwest,good
102536,2630.95,6985,0.377,0,64,1.8,salaried,south,good
49524,1790.51,6619,0.27,0,30,4.5,salaried,west,good
40107,0.0,9957,0.0,2,40,2.5,salaried,south,good
29426,4794.13,10745,0.446,1,26,2.8,retired,midwest,good
94921,5549.75,4644,1.0,0,28,2.7,salaried,midwest,bad
78087,4303.04,8271,0.52,0,65,2.1,salaried,west,good
63888,724.63,1000,0.725,0,54,1.8,salaried,west,bad
70599,2597.02,13768,0.189,1,52,4.8,student,west,good
42490,2986.96,5951,0.502,0,71,1.9,self-employed,midwest,good
113915,4197.59,8223,0.51,0,74,1.9,salaried,northeast,good
67584,4336.68,6761,0.641,1,62,5.6,salaried,midwest,good
67188,1531.65,12584,0.122,1,24,2.3,self-employed,south,good
79515,3163.99,1000,1.0,1,64,3.2,self-employed,west,bad
74620,3914.56,7934,0.493,0,70,2.6,self-employed,south,good
69478,5911.64,7577,0.78,0,59,3.1,retired,midwest,bad
49191,4409.01,6185,0.713,0,40,7.0,retired,northeast,bad
74429,4578.11,14905,0.307,0,44,2.0,salaried,northeast,good
102640,3167.65,4451,0.712,1,44,4.5,student,midwest,bad
91908,5820.92,11087,0.525,0,46,4.7,salaried,south,good
96864,3819.53,9425,0.405,1,45,4.5,self-employed,west,good
54776,1277.82,13046,0.098,2,56,6.9,student,south,good
45208,5806.74,5331,1.0,2,27,0.7,student,west,bad
62484,4395.81,5068,0.867,0,30,1.2,student,midwest,bad
66114,2113.91,12384,0.171,0,67,1.8,self-employed,west,good
86884,2041.01,9701,0.21,0,32,2.3,salaried,south,good
31151,3593.15,1820,1.0,1,21,3.7,salaried,midwest,bad
95591,3926.37,5843,0.672,1,72,1.8,student,south,good
61840,3394.58,9546,0.356,2,70,1.8,self-employed,south,good
56462,3622.62,11351,0.319,1,45,3.4,salaried,west,good
44758,6399.91,5283,1.0,2,36,4.2,salaried,south,bad
31903,5143.09,1000,1.0,2,25,3.1,salaried,northeast,bad
81463,3381.27,10093,0.335,0,39,4.3,salaried,northeast,good
66466,4882.62,3119,1.0,1,24,1.1,salaried,south,bad
39201,934.95,1000,0.935,0,26,2.0,salaried,south,bad
39098,3795.85,1000,1.0,2,46,1.7,salaried,south,bad
58284,6618.61,11256,0.588,0,69,2.3,self-employed,west,good
98380,2563.91,8514,0.301,0,59,3.0,salaried,west,good
59808,1304.73,7097,0.184,0,59,0.9,salaried,west,good
34937,1695.82,13556,0.125,0,29,2.2,self-employed,midwest,good
60085,820.73,10549,0.078,1,65,2.0,self-employed,midwest,good
59546,1430.48,14465,0.099,1,72,1.1,salaried,northeast,good
15000,2258.98,2429,0.93,1,34,4.4,student,midwest,bad
63914,188.87,7862,0.024,0,68,3.1,self-employed,south,good
60381,3031.24,1533,1.0,0,29,2.3,self-employed,south,bad
78924,4804.55,7082,0.678,1,35,7.6,salaried,west,good
101979,1184.49,7006,0.169,0,57,1.2,salaried,west,good
87531,6038.57,10506,0.575,0,70,7.8,student,south,good
59622,4021.58,8182,0.492,0,73,2.7,salaried,south,good
42869,5061.16,10494,0.482,1,40,1.9,student,northeast,good
116467,1684.33,10814,0.156,0,28,2.3,salaried,midwest,good
66184,4709.05,16620,0.283,0,52,2.5,student,northeast,good
65279,816.13,6739,0.121,0,67,8.4,salaried,midwest,good
64517,4780.5,4236,1.0,0,41,3.7,salaried,south,bad
68962,3343.68,8984,0.372,1,61,1.5,salaried,south,good
62113,4106.5,4791,0.857,0,39,4.7,student,west,bad
53527,648.81,13928,0.047,0,49,2.5,salaried,west,good
54063,1209.86,6867,0.176,2,51,0.4,self-employed,west,good
64345,4194.46,5738,0.731,0,74,4.7,salaried,midwest,bad
54132,1103.3,6115,0.18,0,26,4.7,self-employed,south,good
50743,3926.41,10874,0.361,1,24,2.6,salaried,west,good
67129,265.72,7369,0.036,1,63,2.1,salaried,south,good
59900,4696.35,5433,0.864,1,49,5.0,salaried,midwest,bad
95080,534.95,14661,0.036,2,62,2.0,retired,south,good
15000,4104.6,4575,0.897,0,23,5.7,student,south,bad
86830,4251.26,8142,0.522,0,21,2.1,student,south,good
89922,1606.46,10609,0.151,0,64,2.9,salaried,south,good
23532,4164.05,1475,1.0,0,35,3.9,retired,midwest,bad
58146,3520.88,9921,0.355,1,67,3.5,retired,northeast,good
57571,1922.32,3780,0.509,1,41,1.9,salaried,west,good
36850,982.89,11291,0.087,1,66,3.8,salaried,midwest,good
49444,0.0,4149,0.0,1,51,4.6,salaried,west,good
42788,3699.3,10771,0.343,0,27,1.6,salaried,south,good
100045,0.0,12423,0.0,1,37,4.0,salaried,south,good
83714,3190.69,11446,0.279,1,39,2.9,self-employed,south,good
90431,2473.1,9005,0.275,1,59,1.7,self-employed,midwest,good
79433,4358.29,7075,0.616,1,23,3.7,salaried,west,good
42419,2395.91,5694,0.421,2,50,4.9,salaried,northeast,good
54510,2341.1,13884,0.169,0,55,2.2,salaried,south,good
74787,4463.74,5202,0.858,1,49,3.8,salaried,midwest,bad
40557,3670.12,3852,0.953,0,70,2.5,salaried,south,bad
79260,3632.31,10661,0.341,0,72,4.4,student,west,good
60193,3938.54,4815,0.818,1,74,5.4,salaried,west,bad
57504,0.0,4200,0.0,1,34,3.6,salaried,midwest,good
79219,4513.58,2226,1.0,0,55,4.6,self-employed,west,bad
73885,4224.94,6068,0.696,2,48,5.1,salaried,west,bad
57781,966.63,7669,0.126,1,50,2.2,salaried,northeast,good
88187,2511.84,8972,0.28,1,46,2.4,salaried,south,good
43379,2921.39,11805,0.247,0,27,3.9,student,midwest,good
77319,2731.01,10108,0.27,0,59,6.1,retired,south,good
76862,3667.72,7237,0.507,0,51,1.4,self-employed,northeast,good
58809,5862.73,7207,0.813,1,25,4.1,student,west,bad
71523,5163.53,10041,0.514,2,55,5.8,self-employed,northeast,bad
39978,375.56,13090,0.029,0,70,2.8,salaried,south,good
83481,4244.14,8505,0.499,1,67,3.1,retired,west,good
61302,5657.87,6123,0.924,0,72,3.0,salaried,midwest,bad
54546,3773.62,4029,0.937,1,34,2.9,salaried,midwest,bad
85980,5181.96,2219,1.0,0,56,1.9,salaried,south,bad
50913,7024.54,10665,0.659,1,47,2.9,self-employed,west,bad
36831,5047.42,10312,0.489,1,44,1.9,salaried,south,good
33867,3498.62,10309,0.339,0,60,4.4,self-employed,south,good
77120,5090.18,7485,0.68,0,49,1.0,student,midwest,bad
39391,3289.78,13628,0.241,0,73,4.9,retired,northeast,good
100096,3047.81,6064,0.503,0,65,5.4,student,northeast,good
23361,2297.17,11821,0.194,1,42,3.4,retired,midwest,good
98929,6126.83,7845,0.781,1,28,7.5,salaried,northeast,bad
69220,1363.14,5567,0.245,1,35,4.0,salaried,west,good
63066,6064.74,10370,0.585,1,69,3.7,retired,west,good
54102,3999.73,9639,0.415,2,25,0.9,retired,midwest,bad
72983,201.39,9428,0.021,1,72,5.6,salaried,south,good
64247,3735.3,8325,0.449,2,24,1.8,student,south,bad
87066,0.0,7848,0.0,0,31,1.6,salaried,midwest,good
67285,4251.02,17553,0.242,0,38,3.5,salaried,west,good
68006,4770.46,12737,0.375,1,62,2.0,salaried,west,good
57728,1815.29,10891,0.167,0,69,2.8,salaried,northeast,good
63861,3247.1,8447,0.384,1,50,5.8,student,northeast,good
71156,6908.31,12029,0.574,0,35,7.0,self-employed,south,good
30797,1988.51,10072,0.197,0,26,2.2,self-employed,south,good
38036,882.18,8105,0.109,0,73,2.8,student,south,good
79865,5963.33,6786,0.879,1,36,9.6,salaried,west,bad
68417,6925.17,7676,0.902,1,67,6.9,salaried,midwest,bad
61320,3007.39,1000,1.0,2,60,5.1,salaried,south,bad
65369,5022.93,8842,0.568,1,29,2.0,student,south,good
71952,5682.95,6046,0.94,1,63,2.2,salaried,west,bad
54205,1515.03,14371,0.105,0,54,5.1,salaried,northeast,good
49434,2029.39,8077,0.251,1,47,0.8,salaried,northeast,good
68917,5461.75,3244,1.0,1,33,5.6,self-employed,midwest,bad
45433,6370.03,7800,0.817,1,56,6.4,self-employed,south,bad
73165,4125.76,3816,1.0,0,47,2.6,student,northeast,bad
30948,1240.37,9894,0.125,0,29,7.0,salaried,west,good
85583,6974.12,9164,0.761,0,25,4.1,retired,south,bad
74452,1938.06,11831,0.164,0,71,1.5,salaried,midwest,good
70121,2329.72,4836,0.482,1,42,3.3,self-employed,midwest,good
84654,3684.68,8136,0.453,0,51,2.1,self-employed,northeast,good
98309,6108.32,2540,1.0,0,23,3.6,self-employed,midwest,bad
85287,4707.95,10806,0.436,2,50,1.4,salaried,west,good
28183,3829.73,10075,0.38,1,41,7.3,salaried,west,good
39408,3926.58,9983,0.393,0,55,4.4,retired,west,good
52504,3087.03,8006,0.386,0,26,2.4,salaried,midwest,good
65522,4116.28,9659,0.426,2,48,3.7,student,south,good
75353,0.0,14417,0.0,0,52,3.1,salaried,west,good
50485,2406.79,6860,0.351,0,62,7.5,student,south,good
68735,3482.64,8555,0.407,0,57,3.1,self-employed,south,good
49892,697.97,3655,0.191,1,45,3.5,salaried,midwest,good
52770,3772.65,4527,0.833,1,52,1.3,self-employed,south,bad
36867,2591.06,8391,0.309,3,55,3.6,self-employed,south,bad
46535,6510.95,12416,0.524,1,42,4.0,student,midwest,good
37966,6146.04,6975,0.881,1,44,1.6,salaried,midwest,bad
45483,2068.39,7056,0.293,4,59,4.7,self-employed,south,good
86073,2698.32,6372,0.423,0,74,0.8,salaried,northeast,good
46012,2852.1,5861,0.487,1,50,2.8,retired,midwest,good
117648,2096.68,9180,0.228,1,70,1.2,self-employed,midwest,good
74866,3390.05,2011,1.0,1,52,3.3,student,midwest,bad
68697,1483.44,13124,0.113,0,51,2.5,self-employed,west,good
47833,738.77,5338,0.138,2,43,4.1,student,south,good
79006,4245.42,10888,0.39,1,60,3.1,student,midwest,good
53487,4259.06,2920,1.0,0,53,4.1,self-employed,west,bad
67440,1391.37,10675,0.13,0,45,3.3,self-employed,midwest,good
116202,4790.71,10688,0.448,1,56,5.8,salaried,west,good
63079,1736.84,9537,0.182,0,44,5.3,salaried,midwest,good
87985,3506.33,4022,0.872,0,51,2.0,salaried,west,bad
50936,4640.69,8998,0.516,1,59,5.5,salaried,west,good
64300,2932.77,3268,0.897,1,66,4.0,salaried,northeast,bad
100416,3909.48,6989,0.559,1,33,6.1,salaried,northeast,good
52461,1967.14,12118,0.162,0,30,1.7,salaried,west,good
101249,2607.07,11187,0.233,1,43,1.4,retired,south,good
79155,2588.28,8061,0.321,2,38,1.4,salaried,midwest,good
53751,1506.84,4101,0.367,3,52,7.0,salaried,midwest,good
77648,2646.45,10582,0.25,1,53,6.1,self-employed,midwest,good
84451,0.0,8078,0.0,1,56,5.3,self-employed,midwest,good
77436,2017.69,1000,1.0,1,48,1.3,retired,south,bad
33596,2430.25,11131,0.218,0,36,5.3,salaried,west,good
50457,2487.64,7903,0.315,2,36,1.4,student,west,good
60050,2517.01,12810,0.196,1,38,0.4,salaried,south,good
63511,2876.47,3619,0.795,1,28,2.5,salaried,south,bad
77413,3958.88,1000,1.0,0,62,2.9,salaried,midwest,bad
68554,4749.03,9116,0.521,1,36,6.6,salaried,midwest,good
38293,1700.47,9166,0.186,1,31,1.6,salaried,midwest,good
72604,593.6,1237,0.48,1,26,10.0,salaried,midwest,good
77212,915.91,4086,0.224,0,21,3.6,salaried,midwest,good
76196,2025.59,19021,0.106,1,32,3.0,salaried,midwest,good
86616,2296.16,6778,0.339,0,58,3.0,salaried,south,good
81678,1460.01,10924,0.134,0,48,1.4,salaried,south,good
74184,407.77,5397,0.076,1,65,2.6,salaried,south,good
63597,2087.76,1000,1.0,2,37,3.7,salaried,midwest,bad
31781,3362.85,7319,0.459,2,21,5.4,salaried,midwest,bad
73592,4190.06,6938,0.604,1,52,2.5,student,midwest,good
69154,1885.15,6400,0.295,1,28,3.6,salaried,south,good
70432,2174.0,7541,0.288,3,74,4.9,self-employed,midwest,good
39465,1146.6,9057,0.127,0,60,2.5,salaried,northeast,good
43379,2937.12,7400,0.397,0,63,5.6,student,south,good
86063,1303.14,2944,0.443,1,66,4.4,retired,northeast,good
64209,4146.26,9945,0.417,1,44,5.1,salaried,south,good
78630,0.0,1000,0.0,1,30,0.9,student,northeast,good
65566,2280.74,1000,1.0,2,67,2.7,salaried,south,bad
65595,3602.21,10957,0.329,1,59,2.1,self-employed,northeast,good
83766,3367.67,10028,0.336,1,59,0.7,salaried,west,good
54679,8386.07,7770,1.0,0,30,8.1,salaried,west,bad
66922,3699.6,2418,1.0,1,56,5.3,salaried,south,bad
55754,991.89,5168,0.192,1,45,1.1,student,northeast,good
56310,2809.07,6949,0.404,0,70,6.7,salaried,midwest,good
58817,0.0,1616,0.0,0,30,3.1,self-employed,west,good
69443,2838.8,5044,0.563,0,39,4.2,salaried,south,good
55425,1333.89,10609,0.126,0,66,2.2,student,south,good
90115,4830.78,13709,0.352,0,65,5.6,salaried,midwest,good
47108,1900.92,6322,0.301,0,35,3.0,salaried,south,good
61263,2766.47,11026,0.251,1,36,4.3,self-employed,northeast,good
56205,1728.88,1000,1.0,1,22,5.9,salaried,northeast,bad
93940,6477.7,10638,0.609,1,49,4.6,salaried,midwest,good
68931,2357.51,4784,0.493,0,24,2.5,salaried,midwest,good
85637,6665.11,9229,0.722,1,73,3.1,salaried,midwest,bad
35289,4628.3,7009,0.66,1,70,5.2,student,midwest,bad
70341,3964.13,13282,0.298,1,49,0.3,self-employed,west,good
82793,3737.47,4502,0.83,0,51,2.7,salaried,south,bad
66646,3787.59,10510,0.36,1,37,3.2,self-employed,midwest,good
86310,0.0,6882,0.0,1,30,3.8,self-employed,northeast,good
54654,2442.23,7367,0.332,1,47,2.2,self-employed,northeast,good
93187,4690.32,7265,0.646,2,73,3.0,salaried,west,bad
110978,2902.21,4617,0.629,0,61,3.6,salaried,northeast,good
57743,189.62,7944,0.024,0,35,3.5,retired,south,good
56090,2895.19,7749,0.374,1,64,3.5,self-employed,south,good
94068,6408.21,8965,0.715,1,51,2.6,self-employed,midwest,bad
96591,5493.78,8338,0.659,0,41,3.7,student,south,good
54543,2875.99,11192,0.257,2,61,6.5,salaried,midwest,good
56596,4902.9,11694,0.419,1,66,3.0,self-employed,south,good
59364,2266.99,3798,0.597,0,65,3.6,student,west,good
38111,0.0,11475,0.0,0,46,3.0,salaried,south,good
46627,1151.07,3255,0.354,3,58,6.3,salaried,midwest,good
44917,6125.78,10351,0.592,0,71,2.7,student,west,good
49644,2452.01,10479,0.234,0,56,1.8,salaried,south,good
64306,2513.23,1000,1.0,3,72,4.7,salaried,south,bad
69684,2400.32,8372,0.287,1,37,2.6,student,midwest,good
96010,6808.27,6126,1.0,0,71,4.6,salaried,west,bad
45033,6251.92,4965,1.0,1,23,2.4,salaried,northeast,bad
84686,7437.56,13403,0.555,0,34,1.5,salaried,south,good
60720,2681.91,5385,0.498,2,69,3.1,self-employed,west,bad
64011,3591.25,4774,0.752,1,33,1.2,salaried,south,bad
78496,0.0,8303,0.0,2,61,3.8,salaried,midwest,good
42546,5953.87,10742,0.554,1,47,5.1,self-employed,west,good
72648,664.44,7433,0.089,0,21,8.4,retired,south,good
68329,3433.55,12665,0.271,1,37,2.3,student,northeast,good
74849,805.39,10124,0.08,1,68,2.0,salaried,south,good
70783,1822.27,1000,1.0,0,70,5.0,salaried,west,bad
114106,1325.48,5882,0.225,0,54,4.8,salaried,northeast,good
52245,1784.25,5753,0.31,1,34,5.0,self-employed,midwest,good
54380,1921.75,9917,0.194,1,74,8.5,retired,northeast,good
52537,1903.46,1000,1.0,0,37,3.2,retired,west,bad
53890,4666.67,18196,0.256,1,23,9.5,salaried,midwest,good
52252,790.27,10124,0.078,1,54,2.6,salaried,south,good
88780,3441.08,8596,0.4,0,60,2.1,retired,west,good
93410,5435.92,12726,0.427,0,45,2.0,salaried,south,good
53585,1973.61,17375,0.114,1,22,1.9,salaried,south,good
48353,1564.16,11483,0.136,2,54,8.7,self-employed,west,good
74428,2538.95,11795,0.215,1,46,6.1,salaried,south,good
53956,5359.45,8523,0.629,0,51,8.3,salaried,midwest,good
77659,3388.22,7434,0.456,0,29,0.8,self-employed,west,bad
69058,1937.57,6097,0.318,1,50,1.3,salaried,northeast,good
34685,3967.75,4696,0.845,2,40,2.6,student,northeast,bad
95950,795.42,5252,0.151,1,41,2.4,salaried,midwest,good
100918,4362.72,2598,1.0,0,49,3.6,salaried,south,bad
52744,3817.21,7697,0.496,1,45,3.3,student,midwest,good
57246,2384.38,1261,1.0,4,58,1.6,salaried,south,bad
70717,1322.83,8764,0.151,2,64,2.2,salaried,northeast,good
71689,1226.64,7855,0.156,1,45,2.7,self-employed,midwest,good
78171,4069.63,8588,0.474,1,29,1.5,salaried,northeast,good
105204,5457.96,5911,0.923,1,59,3.0,self-employed,midwest,bad
61461,1725.38,20307,0.085,1,64,1.5,salaried,midwest,good
49034,3916.77,13440,0.291,0,46,2.9,salaried,northeast,good
